2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Labor force exit rate, 2024–34 annual average","Occupational transfer rate, 2024–34 annual average","Total occupational separations rate, 2024–34 annual average","Labor force exits, 2024–34 annual average","Occupational transfers, 2024–34 annual average","Total occupational separations, 2024–34 annual average","Occupational openings, 2024–34 annual average",
        Paperhangers,'47-2142,Line item,2.3,2.5,0.1,5.3,3.6,4.1,7.7,0.1,0.1,0.2,0.2,
"      Pipelayers, plumbers, pipefitters, and steamfitters",'47-2150,Summary,538.9,560.1,21.3,3.9,3.0,5.0,8.1,16.6,27.7,44.3,46.4,
        Pipelayers,'47-2151,Line item,34.4,32.9,-1.4,-4.1,2.6,4.9,7.6,0.9,1.7,2.6,2.4,
"        Plumbers, pipefitters, and steamfitters",'47-2152,Line item,504.5,527.2,22.7,4.5,3.0,5.0,8.1,15.7,26.0,41.7,44.0,
      Plasterers and stucco masons,'47-2161,Line item,24.2,25.2,1.0,4.1,3.6,3.8,7.4,0.9,0.9,1.8,1.9,
      Reinforcing iron and rebar workers,'47-2171,Line item,19.4,20.3,0.9,4.6,2.8,4.3,7.1,0.6,0.9,1.4,1.5,
      Roofers,'47-2181,Line item,166.7,176.5,9.8,5.9,2.4,4.4,6.8,4.1,7.6,11.7,12.7,
      Sheet metal workers,'47-2211,Line item,127.0,130.1,3.1,2.4,3.3,4.7,8.0,4.2,6.1,10.3,10.6,
      Structural iron and steel workers,'47-2221,Line item,65.7,68.6,2.9,4.4,2.7,5.1,7.8,1.8,3.4,5.2,5.5,
      Solar photovoltaic installers,'47-2231,Line item,28.6,40.6,12.0,42.1,2.0,6.3,8.4,0.7,2.2,2.9,4.1,
"    Helpers, construction trades",'47-3000,Summary,192.1,195.5,3.4,1.8,3.3,6.9,10.2,6.4,13.3,19.7,20.0,
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",'47-3011,Line item,16.1,14.4,-1.7,-10.5,3.3,6.9,10.2,0.5,1.0,1.5,1.4,
      Helpers--carpenters,'47-3012,Line item,25.2,26.4,1.1,4.5,3.3,6.9,10.2,0.8,1.8,2.6,2.7,
      Helpers--electricians,'47-3013,Line item,66.6,66.7,0.1,0.2,3.3,6.9,10.2,2.2,4.6,6.8,6.8,
"      Helpers--painters, paperhangers, plasterers, and stucco masons",'47-3014,Line item,7.4,7.6,0.2,2.3,3.3,6.9,10.2,0.2,0.5,0.8,0.8,
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",'47-3015,Line item,45.3,47.5,2.2,4.9,3.3,6.9,10.2,1.5,3.2,4.7,4.9,
      Helpers--roofers,'47-3016,Line item,5.2,5.5,0.3,5.7,3.3,6.9,10.2,0.2,0.4,0.5,0.6,
"      Helpers, construction trades, all other",'47-3019,Line item,26.3,27.4,1.2,4.4,3.3,6.9,10.2,0.9,1.8,2.7,2.8,
    Other construction and related workers,'47-4000,Summary,489.0,499.4,10.4,2.1,4.0,4.6,8.6,19.7,22.8,42.4,43.5,
      Construction and building inspectors,'47-4011,Line item,147.6,146.5,-1.2,-0.8,5.7,4.5,10.2,8.3,6.6,14.9,14.8,
      Elevator and escalator installers and repairers,'47-4021,Line item,24.2,25.4,1.2,5.0,2.7,4.9,7.6,0.7,1.2,1.9,2.0,
      Fence erectors,'47-4031,Line item,26.4,27.6,1.2,4.6,3.4,4.7,8.1,0.9,1.3,2.2,2.3,
      Hazardous materials removal workers,'47-4041,Line item,51.3,51.8,0.5,1.0,4.5,5.1,9.6,2.3,2.6,4.9,5.0,
      Highway maintenance workers,'47-4051,Line item,159.1,163.9,4.8,3.0,3.1,4.2,7.3,5.0,6.8,11.9,12.3,
      Rail-track laying and maintenance equipment operators,'47-4061,Line item,15.0,15.3,0.2,1.6,2.6,4.4,7.0,0.4,0.7,1.1,1.1,
      Septic tank servicers and sewer pipe cleaners,'47-4071,Line item,30.4,32.7,2.3,7.6,3.1,5.3,8.3,1.0,1.7,2.6,2.9,
      Miscellaneous construction and related workers,'47-4090,Line item,35.0,36.2,1.2,3.5,3.1,5.3,8.3,1.1,1.9,3.0,3.1,
    Extraction workers,'47-5000,Summary,219.4,218.9,-0.6,-0.3,2.9,6.4,9.3,6.4,13.9,20.3,20.2,
"      Derrick, rotary drill, and service unit operators, oil and gas",'47-5010,Summary,69.9,70.1,0.2,0.3,2.5,6.6,9.0,1.7,4.6,6.3,6.3,
"        Derrick operators, oil and gas",'47-5011,Line item,11.3,11.3,0.1,0.5,2.5,6.6,9.0,0.3,0.7,1.0,1.0,
"        Rotary drill operators, oil and gas",'47-5012,Line item,13.3,13.4,0.0,0.2,2.5,6.6,9.0,0.3,0.9,1.2,1.2,
"        Service unit operators, oil and gas",'47-5013,Line item,45.2,45.4,0.2,0.4,2.5,6.6,9.0,1.1,3.0,4.1,4.1,
      Surface mining machine operators and earth drillers,'47-5020,Summary,54.0,54.4,0.4,0.7,3.2,5.5,8.7,1.8,3.0,4.7,4.7,
"        Excavating and loading machine and dragline operators, surface mining",'47-5022,Line item,35.8,35.6,-0.1,-0.4,3.2,5.5,8.7,1.2,1.9,3.1,3.1,
"        Earth drillers, except oil and gas",'47-5023,Line item,18.3,18.8,0.5,2.9,3.2,5.5,8.7,0.6,1.0,1.6,1.7,
"      Explosives workers, ordnance handling experts, and blasters",'47-5032,Line item,5.8,5.8,-0.1,-0.9,3.1,6.4,9.5,0.2,0.4,0.5,0.5,
      Underground mining machine operators,'47-5040,Summary,27.2,24.9,-2.3,-8.6,3.6,7.1,10.7,0.9,1.9,2.8,2.6,
        Continuous mining machine operators,'47-5041,Line item,14.9,15.0,0.1,0.6,3.6,7.1,10.7,0.5,1.1,1.6,1.6,
"        Roof bolters, mining",'47-5043,Line item,2.3,1.5,-0.8,-34.2,3.6,7.1,10.7,0.1,0.1,0.2,0.1,
"        Loading and moving machine operators, underground mining",'47-5044,Line item,6.4,5.0,-1.4,-22.3,3.6,7.1,10.7,0.2,0.4,0.6,0.5,
"        Underground mining machine operators, all other",'47-5049,Line item,3.6,3.4,-0.2,-6.1,3.6,7.1,10.7,0.1,0.2,0.4,0.4,
"      Rock splitters, quarry",'47-5051,Line item,3.2,3.4,0.1,4.4,3.8,6.7,10.5,0.1,0.2,0.3,0.4,
"      Roustabouts, oil and gas",'47-5071,Line item,46.0,47.1,1.1,2.5,2.5,6.6,9.0,1.1,3.1,4.2,4.3,
      Helpers--extraction workers,'47-5081,Line item,7.0,6.9,-0.1,-1.7,3.8,6.7,10.5,0.3,0.5,0.7,0.7,
"      Extraction workers, all other",'47-5099,Line item,6.3,6.4,0.1,1.4,3.8,6.7,10.5,0.2,0.4,0.7,0.7,
"  Installation, maintenance, and repair occupations",'49-0000,Summary,"6,492.9","6,794.3",301.4,4.6,3.8,4.9,8.7,250.6,327.3,577.9,608.1,
"    Supervisors of installation, maintenance, and repair workers",'49-1000,Summary,617.5,636.5,19.1,3.1,3.5,4.6,8.1,21.8,28.6,50.5,52.4,
"      First-line supervisors of mechanics, installers, and repairers",'49-1011,Line item,617.5,636.5,19.1,3.1,3.5,4.6,8.1,21.8,28.6,50.5,52.4,
"    Electrical and electronic equipment mechanics, installers, and repairers",'49-2000,Summary,498.5,504.9,6.4,1.3,3.2,5.7,8.9,16.1,28.6,44.7,45.4,
"      Computer, automated teller, and office machine repairers",'49-2011,Line item,79.1,78.4,-0.7,-0.9,3.5,6.2,9.8,2.8,4.9,7.7,7.6,
      Radio and telecommunications equipment installers and repairers,'49-2020,Summary,168.6,163.1,-5.5,-3.3,3.1,5.9,9.0,5.2,9.7,14.9,14.3,
"        Radio, cellular, and tower equipment installers and repairers",'49-2021,Line item,11.7,12.7,1.0,8.6,3.1,5.9,9.0,0.4,0.7,1.1,1.2,
"        Telecommunications equipment installers and repairers, except line installers",'49-2022,Line item,156.9,150.4,-6.6,-4.2,3.1,5.9,9.0,4.8,9.0,13.8,13.2,
"      Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",'49-2090,Summary,250.8,263.5,12.7,5.1,3.2,5.4,8.6,8.2,14.0,22.1,23.4,
        Avionics technicians,'49-2091,Line item,21.4,23.1,1.7,8.2,2.2,5.2,7.3,0.5,1.1,1.6,1.8,
"        Electric motor, power tool, and related repairers",'49-2092,Line item,17.1,17.7,0.6,3.4,5.0,4.5,9.5,0.9,0.8,1.6,1.7,
"        Electrical and electronics installers and repairers, transportation equipment",'49-2093,Line item,7.0,7.4,0.4,6.1,3.0,4.9,7.8,0.2,0.3,0.6,0.6,
"        Electrical and electronics repairers, commercial and industrial equipment",'49-2094,Line item,61.1,60.7,-0.5,-0.8,3.0,4.9,7.8,1.8,3.0,4.8,4.7,
"        Electrical and electronics repairers, powerhouse, substation, and relay",'49-2095,Line item,23.4,24.7,1.3,5.5,3.0,4.9,7.8,0.7,1.2,1.9,2.0,
"        Electronic equipment installers and repairers, motor vehicles",'49-2096,Line item,10.3,8.9,-1.4,-13.6,3.0,4.9,7.8,0.3,0.5,0.7,0.6,
        Audiovisual equipment installers and repairers,'49-2097,Line item,24.6,26.3,1.6,6.6,3.7,5.9,9.6,0.9,1.5,2.4,2.6,
        Security and fire alarm systems installers,'49-2098,Line item,85.9,94.9,8.9,10.4,3.2,6.2,9.4,2.9,5.6,8.5,9.4,
"    Vehicle and mobile equipment mechanics, installers, and repairers",'49-3000,Summary,"1,927.6","2,005.5",77.9,4.0,3.4,5.0,8.4,67.5,97.6,165.1,172.9,
      Aircraft mechanics and service technicians,'49-3011,Line item,139.4,145.0,5.6,4.0,2.8,4.8,7.6,4.0,6.8,10.8,11.3,
      Automotive technicians and repairers,'49-3020,Summary,998.6,"1,035.7",37.1,3.7,3.3,4.8,8.1,33.4,48.9,82.3,86.0,
        Automotive body and related repairers,'49-3021,Line item,172.6,175.4,2.8,1.6,3.8,4.4,8.2,6.6,7.7,14.3,14.6,
        Automotive glass installers and repairers,'49-3022,Line item,20.4,21.1,0.7,3.6,2.4,4.1,6.5,0.5,0.9,1.4,1.4,
        Automotive service technicians and mechanics,'49-3023,Line item,805.6,839.2,33.6,4.2,3.2,4.9,8.1,26.3,40.3,66.6,70.0,
      Bus and truck mechanics and diesel engine specialists,'49-3031,Line item,319.9,327.7,7.8,2.4,3.3,4.7,8.0,10.7,15.1,25.8,26.5,
      Heavy vehicle and mobile equipment service technicians and mechanics,'49-3040,Summary,245.6,261.3,15.7,6.4,3.0,5.0,8.0,7.5,12.7,20.2,21.7,
        Farm equipment mechanics and service technicians,'49-3041,Line item,39.0,43.3,4.3,11.0,3.0,5.0,8.0,1.2,2.1,3.3,3.7,
"        Mobile heavy equipment mechanics, except engines",'49-3042,Line item,188.7,199.6,10.9,5.8,3.0,5.0,8.0,5.7,9.7,15.5,16.5,
        Rail car repairers,'49-3043,Line item,17.9,18.4,0.5,2.8,3.0,5.0,8.0,0.5,0.9,1.4,1.5,
      Small engine mechanics,'49-3050,Summary,78.0,81.3,3.3,4.2,4.6,4.6,9.2,3.6,3.7,7.3,7.6,
        Motorboat mechanics and service technicians,'49-3051,Line item,26.2,27.8,1.6,6.0,4.6,4.6,9.2,1.2,1.2,2.5,2.6,
        Motorcycle mechanics,'49-3052,Line item,14.9,15.7,0.8,5.3,4.6,4.6,9.2,0.7,0.7,1.4,1.5,
        Outdoor power equipment and other small engine mechanics,'49-3053,Line item,36.9,37.8,0.9,2.5,4.6,4.6,9.2,1.7,1.7,3.4,3.5,
"      Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",'49-3090,Summary,146.2,154.6,8.4,5.8,5.5,7.0,12.5,8.3,10.5,18.8,19.7,
        Bicycle repairers,'49-3091,Line item,13.2,12.9,-0.3,-2.3,5.5,7.0,12.5,0.7,0.9,1.6,1.6,
        Recreational vehicle service technicians,'49-3092,Line item,19.5,21.7,2.2,11.5,5.5,7.0,12.5,1.1,1.4,2.6,2.8,
        Tire repairers and changers,'49-3093,Line item,113.4,119.9,6.5,5.7,5.5,7.0,12.5,6.5,8.2,14.6,15.3,
"    Other installation, maintenance, and repair occupations",'49-9000,Summary,"3,449.3","3,647.3",198.1,5.7,4.1,4.9,9.0,145.1,172.5,317.6,337.4,
      Control and valve installers and repairers,'49-9010,Summary,76.1,80.0,3.9,5.1,3.4,4.6,8.0,2.6,3.6,6.2,6.6,
        Mechanical door repairers,'49-9011,Line item,28.4,31.7,3.2,11.4,3.4,4.6,8.0,1.0,1.4,2.4,2.7,
"        Control and valve installers and repairers, except mechanical door",'49-9012,Line item,47.7,48.3,0.6,1.3,3.4,4.6,8.0,1.6,2.2,3.8,3.9,
"      Heating, air conditioning, and refrigeration mechanics and installers",'49-9021,Line item,425.2,459.7,34.5,8.1,2.9,5.4,8.3,12.9,23.8,36.6,40.1,
      Home appliance repairers,'49-9031,Line item,37.3,38.3,1.0,2.6,3.8,4.1,7.9,1.4,1.6,3.0,3.1,
"      Industrial machinery installation, repair, and maintenance workers",'49-9040,Summary,539.4,608.4,69.0,12.8,3.9,4.3,8.2,22.5,24.8,47.3,54.2,
        Industrial machinery mechanics,'49-9041,Line item,439.6,510.3,70.7,16.1,3.8,4.3,8.1,18.2,20.5,38.7,45.7,
"        Maintenance workers, machinery",'49-9043,Line item,57.5,55.9,-1.6,-2.8,4.5,4.2,8.8,2.6,2.4,5.0,4.8,
        Millwrights,'49-9044,Line item,41.3,41.3,0.0,0.0,4.2,4.6,8.8,1.7,1.9,3.6,3.6,
"        Refractory materials repairers, except brickmasons",'49-9045,Line item,1.1,0.9,-0.2,-16.9,3.8,4.3,8.1,0.0,0.0,0.1,0.1,
      Line installers and repairers,'49-9050,Summary,227.3,232.6,5.4,2.4,2.8,5.5,8.3,6.4,12.6,19.0,19.6,
        Electrical power-line installers and repairers,'49-9051,Line item,127.4,135.8,8.4,6.6,2.3,5.2,7.5,3.0,6.8,9.8,10.7,
        Telecommunications line installers and repairers,'49-9052,Line item,99.9,96.8,-3.1,-3.1,3.5,5.9,9.4,3.4,5.8,9.2,8.9,
      Precision instrument and equipment repairers,'49-9060,Summary,88.7,97.5,8.7,9.8,3.9,4.9,8.9,3.7,4.6,8.3,9.1,
        Camera and photographic equipment repairers,'49-9061,Line item,2.3,1.9,-0.3,-15.1,3.9,4.9,8.9,0.1,0.1,0.2,0.2,
        Medical equipment repairers,'49-9062,Line item,68.0,76.8,8.8,12.9,3.9,4.9,8.9,2.9,3.6,6.4,7.3,
        Musical instrument repairers and tuners,'49-9063,Line item,6.2,6.3,0.1,1.4,3.9,4.9,8.9,0.2,0.3,0.6,0.6,
        Watch and clock repairers,'49-9064,Line item,1.4,1.4,0.0,-1.1,3.9,4.9,8.9,0.1,0.1,0.1,0.1,
"        Precision instrument and equipment repairers, all other",'49-9069,Line item,10.8,11.0,0.2,2.0,3.9,4.9,8.9,0.4,0.5,1.0,1.0,
"      Maintenance and repair workers, general",'49-9071,Line item,"1,629.7","1,692.1",62.4,3.8,4.6,4.6,9.2,76.9,76.7,153.6,159.8,
      Wind turbine service technicians,'49-9081,Line item,13.6,20.5,6.8,49.9,4.1,5.3,9.4,0.7,0.9,1.6,2.3,
"      Miscellaneous installation, maintenance, and repair workers",'49-9090,Summary,411.8,418.4,6.6,1.6,4.3,5.8,10.1,18.0,23.9,42.0,42.6,
"        Coin, vending, and amusement machine servicers and repairers",'49-9091,Line item,32.5,31.6,-0.9,-2.9,4.7,6.4,11.1,1.5,2.1,3.6,3.5,
        Commercial divers,'49-9092,Line item,4.2,4.5,0.4,8.5,4.1,5.3,9.4,0.2,0.2,0.4,0.4,
        Locksmiths and safe repairers,'49-9094,Line item,18.8,17.2,-1.6,-8.3,5.1,4.9,10.0,0.9,0.9,1.8,1.7,
        Manufactured building and mobile home installers,'49-9095,Line item,3.1,3.3,0.2,5.9,4.1,5.3,9.4,0.1,0.2,0.3,0.3,
        Riggers,'49-9096,Line item,24.6,25.4,0.8,3.2,3.2,6.6,9.8,0.8,1.6,2.5,2.5,
        Signal and track switch repairers,'49-9097,Line item,8.7,8.8,0.1,1.7,4.1,5.3,9.4,0.4,0.5,0.8,0.8,
"        Helpers--installation, maintenance, and repair workers",'49-9098,Line item,98.7,101.0,2.2,2.3,4.9,6.7,11.6,4.9,6.7,11.6,11.8,
"        Installation, maintenance, and repair workers, all other",'49-9099,Line item,221.2,226.5,5.4,2.4,4.1,5.3,9.4,9.2,11.8,21.0,21.5,
  Production occupations,'51-0000,Summary,"9,001.2","8,901.6",-99.6,-1.1,4.4,6.5,10.9,395.5,577.8,973.3,963.4,
    Supervisors of production workers,'51-1000,Summary,698.6,706.9,8.3,1.2,3.6,5.9,9.5,25.1,41.8,66.8,67.7,
      First-line supervisors of production and operating workers,'51-1011,Line item,698.6,706.9,8.3,1.2,3.6,5.9,9.5,25.1,41.8,66.8,67.7,
    Assemblers and fabricators,'51-2000,Summary,"1,885.4","1,874.2",-11.2,-0.6,4.4,6.3,10.6,82.1,117.9,200.0,198.8,
"      Aircraft structure, surfaces, rigging, and systems assemblers",'51-2011,Line item,33.6,28.7,-4.9,-14.5,4.3,6.3,10.7,1.3,2.0,3.3,2.8,
"      Electrical, electronics, and electromechanical assemblers",'51-2020,Summary,273.6,284.7,11.1,4.1,4.8,5.8,10.6,13.5,16.2,29.6,30.7,
"        Coil winders, tapers, and finishers",'51-2021,Line item,12.2,11.5,-0.8,-6.3,4.8,5.8,10.6,0.6,0.7,1.3,1.2,
"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",'51-2028,Line item,261.4,273.3,11.9,4.6,4.8,5.8,10.6,12.9,15.5,28.4,29.6,
      Engine and other machine assemblers,'51-2031,Line item,38.4,30.3,-8.1,-21.1,3.4,7.0,10.4,1.2,2.4,3.6,2.8,
      Structural metal fabricators and fitters,'51-2041,Line item,53.8,45.0,-8.8,-16.3,3.9,6.1,10.0,1.9,3.0,4.9,4.1,
      Fiberglass laminators and fabricators,'51-2051,Line item,18.6,19.4,0.8,4.2,4.3,6.3,10.7,0.8,1.2,2.0,2.1,
      Timing device assemblers and adjusters,'51-2061,Line item,0.2,0.2,0.0,-17.5,4.3,6.3,10.7,0.0,0.0,0.0,0.0,
      Miscellaneous assemblers and fabricators,'51-2090,Line item,"1,467.1","1,465.9",-1.3,-0.1,4.3,6.3,10.7,63.4,93.1,156.5,156.3,
    Food processing workers,'51-3000,Summary,891.3,931.6,40.4,4.5,5.4,7.4,12.8,49.3,67.7,117.0,121.0,
      Bakers,'51-3011,Line item,249.1,263.2,14.0,5.6,6.7,8.3,15.0,17.1,21.3,38.5,39.9,
"      Butchers and other meat, poultry, and fish processing workers",'51-3020,Summary,359.5,370.5,11.0,3.1,4.6,7.0,11.6,16.8,25.7,42.5,43.6,
        Butchers and meat cutters,'51-3021,Line item,143.1,144.5,1.4,1.0,4.6,7.0,11.6,6.6,10.1,16.7,16.9,
"        Meat, poultry, and fish cutters and trimmers",'51-3022,Line item,146.8,154.9,8.1,5.5,4.6,7.0,11.6,7.0,10.6,17.6,18.4,
        Slaughterers and meat packers,'51-3023,Line item,69.6,71.2,1.5,2.2,4.6,7.0,11.6,3.2,5.0,8.2,8.4,
      Miscellaneous food processing workers,'51-3090,Summary,282.6,297.9,15.3,5.4,5.3,7.1,12.4,15.3,20.7,36.0,37.5,
"        Food and tobacco roasting, baking, and drying machine operators and tenders",'51-3091,Line item,20.7,20.8,0.1,0.6,3.8,7.8,11.6,0.8,1.6,2.4,2.4,
        Food batchmakers,'51-3092,Line item,173.5,185.4,11.9,6.9,5.6,7.3,12.8,10.0,13.1,23.1,24.2,
        Food cooking machine operators and tenders,'51-3093,Line item,29.7,29.9,0.2,0.6,6.6,8.1,14.7,2.0,2.4,4.4,4.4,
"        Food processing workers, all other",'51-3099,Line item,58.7,61.8,3.1,5.3,4.2,6.1,10.2,2.5,3.6,6.2,6.5,
    Metal workers and plastic workers,'51-4000,Summary,"1,639.4","1,581.5",-57.9,-3.5,3.8,6.1,9.9,60.6,99.0,159.6,153.8,
"      Forming machine setters, operators, and tenders, metal and plastic",'51-4020,Summary,97.3,94.5,-2.7,-2.8,3.6,6.1,9.7,3.4,5.9,9.3,9.0,
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",'51-4021,Line item,66.0,66.8,0.8,1.2,3.6,6.1,9.7,2.4,4.1,6.4,6.5,
"        Forging machine setters, operators, and tenders, metal and plastic",'51-4022,Line item,8.8,7.2,-1.7,-18.9,3.6,6.1,9.7,0.3,0.5,0.8,0.6,
"        Rolling machine setters, operators, and tenders, metal and plastic",'51-4023,Line item,22.5,20.6,-1.9,-8.3,3.6,6.1,9.7,0.8,1.3,2.1,1.9,
"      Machine tool cutting setters, operators, and tenders, metal and plastic",'51-4030,Summary,282.9,247.7,-35.2,-12.4,4.2,5.7,10.0,11.3,15.2,26.4,22.9,
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",'51-4031,Line item,174.7,153.6,-21.1,-12.1,4.5,5.6,10.1,7.4,9.1,16.5,14.4,
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",'51-4032,Line item,5.3,4.3,-1.0,-19.6,3.2,6.9,10.1,0.2,0.3,0.5,0.4,
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",'51-4033,Line item,70.1,61.7,-8.4,-12.0,4.2,5.5,9.6,2.7,3.6,6.3,5.5,
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",'51-4034,Line item,18.9,16.4,-2.6,-13.6,3.2,6.9,10.1,0.6,1.2,1.8,1.5,
"        Milling and planing machine setters, operators, and tenders, metal and plastic",'51-4035,Line item,13.8,11.8,-2.0,-14.4,3.2,6.9,10.1,0.4,0.9,1.3,1.1,
      Machinists,'51-4041,Line item,299.5,299.6,0.0,0.0,4.1,5.7,9.8,12.3,17.2,29.5,29.5,
"      Metal furnace operators, tenders, pourers, and casters",'51-4050,Summary,26.7,26.0,-0.8,-2.8,3.7,6.3,10.0,1.0,1.6,2.6,2.6,
        Metal-refining furnace operators and tenders,'51-4051,Line item,20.8,20.3,-0.5,-2.3,3.7,6.3,10.0,0.8,1.3,2.1,2.0,
"        Pourers and casters, metal",'51-4052,Line item,5.9,5.7,-0.3,-4.7,3.7,6.3,10.0,0.2,0.4,0.6,0.6,
"      Model makers and patternmakers, metal and plastic",'51-4060,Summary,4.8,3.8,-1.0,-20.3,4.4,6.5,10.9,0.2,0.3,0.5,0.4,
"        Model makers, metal and plastic",'51-4061,Line item,3.2,2.6,-0.6,-18.2,4.4,6.5,10.9,0.1,0.2,0.3,0.3,
"        Patternmakers, metal and plastic",'51-4062,Line item,1.6,1.2,-0.4,-24.4,4.4,6.5,10.9,0.1,0.1,0.1,0.1,
"      Molders and molding machine setters, operators, and tenders, metal and plastic",'51-4070,Summary,167.3,158.2,-9.1,-5.5,4.4,6.5,10.9,7.1,10.6,17.7,16.8,
        Foundry mold and coremakers,'51-4071,Line item,12.7,9.4,-3.3,-25.9,4.4,6.5,10.9,0.5,0.7,1.2,0.9,
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",'51-4072,Line item,154.6,148.8,-5.8,-3.8,4.4,6.5,10.9,6.6,9.8,16.5,15.9,
"      Multiple machine tool setters, operators, and tenders, metal and plastic",'51-4081,Line item,131.0,130.3,-0.7,-0.5,3.8,6.0,9.8,5.0,7.8,12.8,12.8,
      Tool and die makers,'51-4111,Line item,55.2,49.3,-6.0,-10.8,4.6,5.6,10.2,2.4,2.9,5.3,4.7,
"      Welding, soldering, and brazing workers",'51-4120,Summary,496.2,502.5,6.4,1.3,3.0,6.6,9.6,15.0,33.1,48.2,48.8,
"        Welders, cutters, solderers, and brazers",'51-4121,Line item,457.3,467.2,9.9,2.2,3.0,6.6,9.6,13.9,30.7,44.6,45.6,
"        Welding, soldering, and brazing machine setters, operators, and tenders",'51-4122,Line item,38.9,35.4,-3.5,-9.0,3.0,6.6,9.6,1.1,2.5,3.6,3.2,
      Miscellaneous metal workers and plastic workers,'51-4190,Summary,78.4,69.5,-8.9,-11.4,3.8,6.0,9.8,2.8,4.4,7.3,6.4,
"        Heat treating equipment setters, operators, and tenders, metal and plastic",'51-4191,Line item,14.8,12.9,-1.9,-12.8,3.8,6.0,9.8,0.5,0.8,1.4,1.2,
"        Layout workers, metal and plastic",'51-4192,Line item,5.7,5.4,-0.3,-5.4,3.8,6.0,9.8,0.2,0.3,0.5,0.5,
"        Plating machine setters, operators, and tenders, metal and plastic",'51-4193,Line item,31.7,27.4,-4.3,-13.6,3.8,6.0,9.8,1.1,1.8,2.9,2.5,
"        Tool grinders, filers, and sharpeners",'51-4194,Line item,5.8,5.4,-0.5,-7.8,3.8,6.0,9.8,0.2,0.3,0.5,0.5,
"        Metal workers and plastic workers, all other",'51-4199,Line item,20.4,18.5,-1.9,-9.5,3.8,6.0,9.8,0.7,1.2,1.9,1.7,
    Printing workers,'51-5100,Summary,212.1,190.4,-21.8,-10.3,4.5,6.2,10.7,9.0,12.5,21.5,19.3,
      Prepress technicians and workers,'51-5111,Line item,26.2,22.3,-3.8,-14.6,5.4,7.6,13.0,1.3,1.8,3.1,2.8,
      Printing press operators,'51-5112,Line item,150.2,138.0,-12.2,-8.1,4.3,6.1,10.4,6.2,8.7,14.9,13.7,
      Print binding and finishing workers,'51-5113,Line item,35.8,30.0,-5.8,-16.1,4.6,5.7,10.3,1.5,1.9,3.4,2.8,
"    Textile, apparel, and furnishings workers",'51-6000,Summary,520.7,504.2,-16.5,-3.2,7.3,6.0,13.4,37.5,30.9,68.4,66.8,
      Laundry and dry-cleaning workers,'51-6011,Line item,202.6,213.5,10.9,5.4,8.3,6.5,14.8,17.2,13.6,30.8,31.9,
"      Pressers, textile, garment, and related materials",'51-6021,Line item,28.4,24.6,-3.8,-13.5,6.7,5.2,11.9,1.8,1.4,3.2,2.8,
      Sewing machine operators,'51-6031,Line item,124.0,110.7,-13.3,-10.8,6.9,5.3,12.2,8.1,6.2,14.3,13.0,
      Shoe and leather workers,'51-6040,Summary,13.6,13.1,-0.5,-3.8,4.6,5.6,10.1,0.6,0.7,1.4,1.3,
        Shoe and leather workers and repairers,'51-6041,Line item,9.5,9.1,-0.4,-3.8,4.6,5.6,10.1,0.4,0.5,0.9,0.9,
        Shoe machine operators and tenders,'51-6042,Line item,4.1,3.9,-0.2,-3.7,4.6,5.6,10.1,0.2,0.2,0.4,0.4,
"      Tailors, dressmakers, and sewers",'51-6050,Summary,44.2,42.1,-2.1,-4.8,8.0,5.5,13.5,3.5,2.4,5.8,5.6,
"        Sewers, hand",'51-6051,Line item,5.4,5.0,-0.4,-7.0,8.0,5.5,13.5,0.4,0.3,0.7,0.7,
"        Tailors, dressmakers, and custom sewers",'51-6052,Line item,38.8,37.1,-1.7,-4.5,8.0,5.5,13.5,3.0,2.1,5.1,5.0,
"      Textile machine setters, operators, and tenders",'51-6060,Summary,52.5,47.1,-5.4,-10.2,5.6,7.3,12.9,2.8,3.6,6.4,5.9,
        Textile bleaching and dyeing machine operators and tenders,'51-6061,Line item,6.2,5.5,-0.6,-10.1,5.6,7.3,12.9,0.3,0.4,0.8,0.7,
"        Textile cutting machine setters, operators, and tenders",'51-6062,Line item,9.3,8.2,-1.1,-11.7,5.6,7.3,12.9,0.5,0.6,1.1,1.0,
"        Textile knitting and weaving machine setters, operators, and tenders",'51-6063,Line item,15.3,13.6,-1.7,-11.2,5.6,7.3,12.9,0.8,1.1,1.9,1.7,
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",'51-6064,Line item,21.7,19.8,-1.9,-9.0,5.6,7.3,12.9,1.2,1.5,2.7,2.5,
