2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
  Recreational vehicle service technicians,'49-3092,19.5,21.7,2.2,11.5,5.1,2.8,"50,540",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,—
  Tire repairers and changers,'49-3093,113.4,119.9,6.5,5.7,5.0,15.3,"37,120",High school diploma or equivalent,Detail oriented,Customer service,Adaptability,—
  Mechanical door repairers,'49-9011,28.4,31.7,3.2,11.4,—,2.7,"51,050",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,—
"  Control and valve installers and repairers, except mechanical door",'49-9012,47.7,48.3,0.6,1.3,—,3.9,"74,690",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Heating, air conditioning, and refrigeration mechanics and installers",'49-9021,425.2,459.7,34.5,8.1,4.8,40.1,"59,810",Postsecondary nondegree award,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Home appliance repairers,'49-9031,37.3,38.3,1.0,2.6,14.7,3.1,"49,410",High school diploma or equivalent,Customer service,Adaptability,Problem solving and decision making,—
  Industrial machinery mechanics,'49-9041,439.6,510.3,70.7,16.1,1.7,45.7,"63,760",High school diploma or equivalent,Fine motor,Mechanical,Adaptability,OOH Content
"  Maintenance workers, machinery",'49-9043,57.5,55.9,-1.6,-2.8,—,4.8,"60,500",High school diploma or equivalent,Detail oriented,Mechanical,Adaptability,OOH Content
  Millwrights,'49-9044,41.3,41.3,0.0,0.0,—,3.6,"65,170",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Refractory materials repairers, except brickmasons",'49-9045,1.1,0.9,-0.2,-16.9,—,0.1,"58,540",High school diploma or equivalent,Detail oriented,Physical strength and stamina,Adaptability,—
  Electrical power-line installers and repairers,'49-9051,127.4,135.8,8.4,6.6,1.4,10.7,"92,560",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Telecommunications line installers and repairers,'49-9052,99.9,96.8,-3.1,-3.1,1.3,8.9,"70,500",High school diploma or equivalent,Adaptability,Detail oriented,Customer service,OOH Content
  Camera and photographic equipment repairers,'49-9061,2.3,1.9,-0.3,-15.1,8.7,0.2,"49,300",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Medical equipment repairers,'49-9062,68.0,76.8,8.8,12.9,9.4,7.3,"62,630",Associate's degree,Detail oriented,Adaptability,Computers and information technology,OOH Content
  Musical instrument repairers and tuners,'49-9063,6.2,6.3,0.1,1.4,9.8,0.6,"45,320",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,—
  Watch and clock repairers,'49-9064,1.4,1.4,0.0,-1.1,9.8,0.1,"60,690",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,—
"  Precision instrument and equipment repairers, all other[2]",'49-9069,10.8,11.0,0.2,2.0,7.7,1.0,"67,080",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Maintenance and repair workers, general",'49-9071,"1,629.7","1,692.1",62.4,3.8,1.1,159.8,"48,620",High school diploma or equivalent,Adaptability,Mechanical,Detail oriented,OOH Content
  Wind turbine service technicians,'49-9081,13.6,20.5,6.8,49.9,16.7,2.3,"62,580",Postsecondary nondegree award,Detail oriented,Mechanical,Adaptability,OOH Content
"  Coin, vending, and amusement machine servicers and repairers",'49-9091,32.5,31.6,-0.9,-2.9,11.5,3.5,"47,350",High school diploma or equivalent,Adaptability,Problem solving and decision making,Detail oriented,—
  Commercial divers,'49-9092,4.2,4.5,0.4,8.5,16.6,0.4,"61,130",Postsecondary nondegree award,Detail oriented,Adaptability,Problem solving and decision making,—
  Locksmiths and safe repairers,'49-9094,18.8,17.2,-1.6,-8.3,16.2,1.7,"50,490",High school diploma or equivalent,Adaptability,Detail oriented,Fine motor,—
  Manufactured building and mobile home installers,'49-9095,3.1,3.3,0.2,5.9,17.0,0.3,"41,080",High school diploma or equivalent,Leadership,Adaptability,Fine motor,—
  Riggers,'49-9096,24.6,25.4,0.8,3.2,—,2.5,"62,060",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Signal and track switch repairers,'49-9097,8.7,8.8,0.1,1.7,15.3,0.8,"83,600",High school diploma or equivalent,Detail oriented,Mechanical,Fine motor,—
"  Helpers--installation, maintenance, and repair workers",'49-9098,98.7,101.0,2.2,2.3,—,11.8,"38,860",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Installation, maintenance, and repair workers, all other[2]",'49-9099,221.2,226.5,5.4,2.4,15.4,21.5,"48,640",High school diploma or equivalent,Adaptability,Detail oriented,Mechanical,—
  First-line supervisors of production and operating workers,'51-1011,698.6,706.9,8.3,1.2,1.2,67.7,"71,190",High school diploma or equivalent,Leadership,Adaptability,Problem solving and decision making,—
"  Aircraft structure, surfaces, rigging, and systems assemblers",'51-2011,33.6,28.7,-4.9,-14.5,0.7,2.8,"61,680",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Coil winders, tapers, and finishers",'51-2021,12.2,11.5,-0.8,-6.3,—,1.2,"47,260",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",'51-2028,261.4,273.3,11.9,4.6,—,29.6,"44,040",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
  Engine and other machine assemblers,'51-2031,38.4,30.3,-8.1,-21.1,—,2.8,"52,540",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Structural metal fabricators and fitters,'51-2041,53.8,45.0,-8.8,-16.3,0.8,4.1,"49,900",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Fiberglass laminators and fabricators,'51-2051,18.6,19.4,0.8,4.2,0.7,2.1,"45,760",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Timing device assemblers and adjusters,'51-2061,0.2,0.2,0.0,-17.5,—,0.0,"40,790",High school diploma or equivalent,Problem solving and decision making,Adaptability,Detail oriented,OOH Content
  Miscellaneous assemblers and fabricators[2],'51-2090,"1,467.1","1,465.9",-1.3,-0.1,0.7,156.3,"42,210",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Bakers,'51-3011,249.1,263.2,14.0,5.6,6.2,39.9,"36,650",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Butchers and meat cutters,'51-3021,143.1,144.5,1.4,1.0,1.8,16.9,"38,960",No formal educational credential,Customer service,Detail oriented,Adaptability,OOH Content
"  Meat, poultry, and fish cutters and trimmers",'51-3022,146.8,154.9,8.1,5.5,1.8,18.4,"37,700",No formal educational credential,Detail oriented,Fine motor,Leadership,—
  Slaughterers and meat packers,'51-3023,69.6,71.2,1.5,2.2,1.8,8.4,"39,790",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
"  Food and tobacco roasting, baking, and drying machine operators and tenders",'51-3091,20.7,20.8,0.1,0.6,8.8,2.4,"42,730",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Food batchmakers,'51-3092,173.5,185.4,11.9,6.9,0.6,24.2,"40,790",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Food cooking machine operators and tenders,'51-3093,29.7,29.9,0.2,0.6,6.2,4.4,"40,550",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Food processing workers, all other[2]",'51-3099,58.7,61.8,3.1,5.3,1.7,6.5,"38,420",No formal educational credential,Detail oriented,Adaptability,Fine motor,OOH Content
"  Extruding and drawing machine setters, operators, and tenders, metal and plastic",'51-4021,66.0,66.8,0.8,1.2,—,6.5,"46,980",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
"  Forging machine setters, operators, and tenders, metal and plastic",'51-4022,8.8,7.2,-1.7,-18.9,—,0.6,"49,240",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Rolling machine setters, operators, and tenders, metal and plastic",'51-4023,22.5,20.6,-1.9,-8.3,—,1.9,"48,630",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",'51-4031,174.7,153.6,-21.1,-12.1,—,14.4,"45,590",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,OOH Content
"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",'51-4032,5.3,4.3,-1.0,-19.6,—,0.4,"46,630",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",'51-4033,70.1,61.7,-8.4,-12.0,—,5.5,"45,190",High school diploma or equivalent,Fine motor,Detail oriented,Adaptability,OOH Content
"  Lathe and turning machine tool setters, operators, and tenders, metal and plastic",'51-4034,18.9,16.4,-2.6,-13.6,—,1.5,"48,620",High school diploma or equivalent,Fine motor,Adaptability,Detail oriented,OOH Content
"  Milling and planing machine setters, operators, and tenders, metal and plastic",'51-4035,13.8,11.8,-2.0,-14.4,—,1.1,"48,310",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Machinists,'51-4041,299.5,299.6,0.0,0.0,0.3,29.5,"56,150",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
  Metal-refining furnace operators and tenders,'51-4051,20.8,20.3,-0.5,-2.3,1.2,2.0,"55,770",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
"  Pourers and casters, metal",'51-4052,5.9,5.7,-0.3,-4.7,1.2,0.6,"48,940",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Model makers, metal and plastic",'51-4061,3.2,2.6,-0.6,-18.2,—,0.3,"62,700",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Patternmakers, metal and plastic",'51-4062,1.6,1.2,-0.4,-24.4,—,0.1,"54,540",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Foundry mold and coremakers,'51-4071,12.7,9.4,-3.3,-25.9,—,0.9,"45,700",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",'51-4072,154.6,148.8,-5.8,-3.8,—,15.9,"41,230",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
"  Multiple machine tool setters, operators, and tenders, metal and plastic",'51-4081,131.0,130.3,-0.7,-0.5,1.1,12.8,"46,060",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Tool and die makers,'51-4111,55.2,49.3,-6.0,-10.8,—,4.7,"63,180",Postsecondary nondegree award,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Welders, cutters, solderers, and brazers",'51-4121,457.3,467.2,9.9,2.2,6.3,45.6,"51,000",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
"  Welding, soldering, and brazing machine setters, operators, and tenders",'51-4122,38.9,35.4,-3.5,-9.0,6.4,3.2,"47,060",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Heat treating equipment setters, operators, and tenders, metal and plastic",'51-4191,14.8,12.9,-1.9,-12.8,1.0,1.2,"47,450",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
"  Layout workers, metal and plastic",'51-4192,5.7,5.4,-0.3,-5.4,—,0.5,"61,870",High school diploma or equivalent,Detail oriented,Adaptability,Mathematics,—
"  Plating machine setters, operators, and tenders, metal and plastic",'51-4193,31.7,27.4,-4.3,-13.6,1.0,2.5,"41,600",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
"  Tool grinders, filers, and sharpeners",'51-4194,5.8,5.4,-0.5,-7.8,1.0,0.5,"48,970",High school diploma or equivalent,Fine motor,Detail oriented,Adaptability,—
"  Metal workers and plastic workers, all other[2]",'51-4199,20.4,18.5,-1.9,-9.5,1.0,1.7,"42,750",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
  Prepress technicians and workers,'51-5111,26.2,22.3,-3.8,-14.6,12.9,2.8,"47,300",Postsecondary nondegree award,Detail oriented,Adaptability,Computers and information technology,—
  Printing press operators,'51-5112,150.2,138.0,-12.2,-8.1,4.2,13.7,"45,160",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Fine motor,—
  Print binding and finishing workers,'51-5113,35.8,30.0,-5.8,-16.1,—,2.8,"39,820",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Laundry and dry-cleaning workers,'51-6011,202.6,213.5,10.9,5.4,2.3,31.9,"33,800",No formal educational credential,Detail oriented,Interpersonal,Adaptability,—
"  Pressers, textile, garment, and related materials",'51-6021,28.4,24.6,-3.8,-13.5,—,2.8,"33,880",No formal educational credential,Detail oriented,Adaptability,Fine motor,—
  Sewing machine operators,'51-6031,124.0,110.7,-13.3,-10.8,11.2,13.0,"36,000",No formal educational credential,Fine motor,Detail oriented,Adaptability,—
  Shoe and leather workers and repairers,'51-6041,9.5,9.1,-0.4,-3.8,19.1,0.9,"35,950",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,—
  Shoe machine operators and tenders,'51-6042,4.1,3.9,-0.2,-3.7,19.0,0.4,"38,160",High school diploma or equivalent,Adaptability,Fine motor,Detail oriented,—
"  Sewers, hand",'51-6051,5.4,5.0,-0.4,-7.0,57.2,0.7,"33,760",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
"  Tailors, dressmakers, and custom sewers",'51-6052,38.8,37.1,-1.7,-4.5,57.4,5.0,"40,860",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
  Textile bleaching and dyeing machine operators and tenders,'51-6061,6.2,5.5,-0.6,-10.1,2.4,0.7,"37,320",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,—
"  Textile cutting machine setters, operators, and tenders",'51-6062,9.3,8.2,-1.1,-11.7,2.4,1.0,"37,940",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,—
"  Textile knitting and weaving machine setters, operators, and tenders",'51-6063,15.3,13.6,-1.7,-11.2,2.4,1.7,"38,260",High school diploma or equivalent,Fine motor,Detail oriented,Adaptability,—
"  Textile winding, twisting, and drawing out machine setters, operators, and tenders",'51-6064,21.7,19.8,-1.9,-9.0,2.4,2.5,"37,660",High school diploma or equivalent,Fine motor,Detail oriented,Adaptability,—
"  Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",'51-6091,15.2,15.0,-0.2,-1.1,—,2.0,"44,980",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,—
  Fabric and apparel patternmakers,'51-6092,2.8,2.5,-0.3,-10.2,—,0.3,"67,670",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Upholsterers,'51-6093,22.7,22.3,-0.4,-1.8,9.2,2.2,"46,190",High school diploma or equivalent,Fine motor,Detail oriented,Adaptability,—
"  Textile, apparel, and furnishings workers, all other[2]",'51-6099,14.7,13.3,-1.4,-9.4,—,1.7,"37,010",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
  Cabinetmakers and bench carpenters,'51-7011,86.0,84.7,-1.4,-1.6,9.0,8.1,"46,020",High school diploma or equivalent,Fine motor,Detail oriented,Adaptability,OOH Content
  Furniture finishers,'51-7021,20.5,19.8,-0.7,-3.3,32.0,2.0,"42,530",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
"  Model makers, wood",'51-7031,0.9,0.9,0.0,-4.5,57.8,0.1,"51,850",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,—
"  Patternmakers, wood",'51-7032,0.5,0.4,0.0,-5.0,58.1,0.0,"52,520",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,—
"  Sawing machine setters, operators, and tenders, wood",'51-7041,45.0,44.7,-0.3,-0.6,3.8,4.8,"39,950",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
"  Woodworking machine setters, operators, and tenders, except sawing",'51-7042,63.1,61.9,-1.1,-1.8,—,6.4,"40,440",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,OOH Content
"  Woodworkers, all other[2]",'51-7099,17.6,16.8,-0.8,-4.4,59.5,1.8,"41,220",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
  Nuclear power reactor operators,'51-8011,5.7,4.9,-0.9,-15.3,—,0.4,"122,610",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Power distributors and dispatchers,'51-8012,9.3,9.0,-0.3,-3.2,—,0.8,"107,240",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Power plant operators,'51-8013,31.6,28.0,-3.5,-11.2,—,2.5,"99,670",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Stationary engineers and boiler operators,'51-8021,33.3,34.0,0.7,2.2,3.1,3.8,"75,190",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Water and wastewater treatment plant and system operators,'51-8031,132.4,123.8,-8.7,-6.5,1.1,10.7,"58,260",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Chemical plant and system operators,'51-8091,18.1,17.0,-1.1,-6.1,—,1.6,"73,540",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,—
  Gas plant operators,'51-8092,16.2,14.8,-1.4,-8.8,—,1.3,"83,400",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Petroleum pump system operators, refinery operators, and gaugers",'51-8093,34.9,34.0,-1.0,-2.8,—,3.2,"97,540",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Plant and system operators, all other[2]",'51-8099,16.3,16.6,0.3,1.6,—,1.6,"61,710",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,—
  Chemical equipment operators and tenders,'51-9011,128.9,133.1,4.3,3.3,0.4,14.4,"57,090",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",'51-9012,54.4,52.0,-2.3,-4.3,0.4,5.4,"49,500",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
"  Crushing, grinding, and polishing machine setters, operators, and tenders",'51-9021,28.7,27.9,-0.7,-2.5,—,2.7,"46,890",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
"  Grinding and polishing workers, hand",'51-9022,11.8,9.3,-2.5,-21.2,—,0.8,"41,690",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
"  Mixing and blending machine setters, operators, and tenders",'51-9023,101.1,94.3,-6.8,-6.8,—,8.8,"47,680",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Fine motor,—
"  Cutters and trimmers, hand",'51-9031,7.0,5.7,-1.3,-18.1,3.4,0.6,"38,800",No formal educational credential,Detail oriented,Fine motor,Adaptability,—
"  Cutting and slicing machine setters, operators, and tenders",'51-9032,49.0,47.9,-1.1,-2.3,3.3,5.3,"45,700",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,—
"  Extruding, forming, pressing, and compacting machine setters, operators, and tenders",'51-9041,57.3,58.4,1.1,2.0,—,5.2,"45,130",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,—
"  Furnace, kiln, oven, drier, and kettle operators and tenders",'51-9051,16.5,17.0,0.5,3.0,1.5,1.9,"47,010",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,—
"  Inspectors, testers, sorters, samplers, and weighers",'51-9061,598.0,598.1,0.1,0.0,1.4,69.9,"47,460",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Jewelers and precious stone and metal workers,'51-9071,35.1,33.2,-1.9,-5.5,33.9,4.0,"49,140",High school diploma or equivalent,Detail oriented,Adaptability,Creativity and innovation,OOH Content
  Dental laboratory technicians,'51-9081,35.2,33.6,-1.6,-4.7,4.0,3.9,"48,310",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Medical appliance technicians,'51-9082,12.0,12.4,0.4,3.7,4.0,1.5,"47,060",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Fine motor,OOH Content
  Ophthalmic laboratory technicians,'51-9083,19.6,20.0,0.5,2.3,4.0,2.4,"38,420",High school diploma or equivalent,Fine motor,Detail oriented,Adaptability,OOH Content
  Packaging and filling machine operators and tenders,'51-9111,381.2,398.2,17.0,4.5,—,45.3,"40,900",High school diploma or equivalent,Detail oriented,Fine motor,Problem solving and decision making,—
"  Painting, coating, and decorating workers",'51-9123,8.8,8.9,0.1,1.4,3.5,0.8,"40,860",No formal educational credential,Detail oriented,Fine motor,Adaptability,OOH Content
"  Coating, painting, and spraying machine setters, operators, and tenders",'51-9124,165.5,166.7,1.2,0.7,3.6,15.8,"47,590",High school diploma or equivalent,Fine motor,Adaptability,Detail oriented,OOH Content
  Semiconductor processing technicians,'51-9141,31.9,35.4,3.5,10.9,—,3.9,"51,180",High school diploma or equivalent,Detail oriented,Adaptability,Writing and reading,OOH Content
  Photographic process workers and processing machine operators,'51-9151,11.2,10.9,-0.3,-2.6,39.0,1.5,"40,100",High school diploma or equivalent,Adaptability,Detail oriented,Customer service,—
  Computer numerically controlled tool operators,'51-9161,177.1,158.1,-19.0,-10.7,0.2,13.5,"49,970",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Computer numerically controlled tool programmers,'51-9162,28.3,31.9,3.6,12.8,—,3.1,"65,670",Postsecondary nondegree award,Computers and information technology,Detail oriented,Problem solving and decision making,OOH Content
  Adhesive bonding machine operators and tenders,'51-9191,12.2,12.3,0.1,1.0,—,1.3,"45,210",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
"  Cleaning, washing, and metal pickling equipment operators and tenders",'51-9192,14.6,15.2,0.5,3.6,3.7,1.6,"41,460",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Cooling and freezing equipment operators and tenders,'51-9193,7.1,7.6,0.5,7.2,3.7,0.8,"40,160",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,—
  Etchers and engravers,'51-9194,8.6,8.6,-0.1,-0.7,3.2,0.9,"40,450",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
"  Molders, shapers, and casters, except metal and plastic",'51-9195,41.7,44.3,2.6,6.2,14.2,5.5,"45,690",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
"  Paper goods machine setters, operators, and tenders",'51-9196,97.5,91.4,-6.1,-6.3,1.2,8.1,"49,390",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,—
  Tire builders,'51-9197,20.9,21.4,0.5,2.3,—,2.5,"55,580",High school diploma or equivalent,Fine motor,Detail oriented,Physical strength and stamina,—
  Helpers--production workers,'51-9198,168.5,153.5,-15.0,-8.9,0.1,23.6,"38,220",High school diploma or equivalent,Detail oriented,Fine motor,Adaptability,—
"  Production workers, all other[2]",'51-9199,292.8,294.3,1.5,0.5,3.7,31.6,"38,820",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Aircraft cargo handling supervisors,'53-1041,10.3,10.8,0.5,5.2,0.8,1.1,"63,940",High school diploma or equivalent,Detail oriented,Adaptability,Leadership,—
"  First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors[2]",'53-1047,609.6,632.2,22.5,3.7,0.8,61.3,"61,890",High school diploma or equivalent,Leadership,Adaptability,Problem solving and decision making,—
"  Airline pilots, copilots, and flight engineers",'53-2011,100.0,103.9,3.9,3.9,—,11.7,"226,600",Bachelor's degree,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Commercial pilots,'53-2012,55.4,58.3,2.8,5.1,3.7,6.6,"122,670",Postsecondary nondegree award,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Air traffic controllers,'53-2021,24.1,24.4,0.3,1.2,—,2.2,"144,580",Associate's degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Airfield operations specialists,'53-2022,16.9,17.6,0.7,4.2,—,1.6,"56,750",High school diploma or equivalent,Detail oriented,Problem solving and decision making,Adaptability,—
  Flight attendants,'53-2031,130.8,142.9,12.1,9.2,—,19.8,"67,130",High school diploma or equivalent,Customer service,Adaptability,Interpersonal,OOH Content
"  Ambulance drivers and attendants, except emergency medical technicians",'53-3011,12.3,12.1,-0.2,-1.3,—,1.4,"34,330",High school diploma or equivalent,Detail oriented,Adaptability,Interpersonal,—
  Driver/sales workers,'53-3031,451.5,491.3,39.8,8.8,6.9,51.3,"37,130",High school diploma or equivalent,Customer service,Detail oriented,Adaptability,OOH Content
  Heavy and tractor-trailer truck drivers,'53-3032,"2,235.1","2,324.4",89.3,4.0,6.9,237.6,"57,440",Postsecondary nondegree award,Detail oriented,Adaptability,Fine motor,OOH Content
  Light truck drivers,'53-3033,"1,079.8","1,158.6",78.9,7.3,6.8,120.2,"44,140",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Bus drivers, school[2]",'53-3051,387.3,388.2,0.9,0.2,0.4,61.0,"47,040",High school diploma or equivalent,Detail oriented,Adaptability,Interpersonal,OOH Content
"  Bus drivers, transit and intercity",'53-3052,158.8,165.6,6.8,4.3,1.8,20.9,"57,440",High school diploma or equivalent,Detail oriented,Adaptability,Interpersonal,OOH Content
  Shuttle drivers and chauffeurs[2],'53-3053,243.9,260.3,16.4,6.7,3.1,36.3,"36,670",No formal educational credential,Detail oriented,Adaptability,Interpersonal,OOH Content
  Taxi drivers[2],'53-3054,204.0,226.6,22.6,11.1,91.5,22.6,"36,220",No formal educational credential,Detail oriented,Adaptability,Interpersonal,OOH Content
"  Motor vehicle operators, all other[2]",'53-3099,79.3,84.0,4.7,6.0,34.8,11.1,"36,260",No formal educational credential,Detail oriented,Adaptability,Problem solving and decision making,—
  Locomotive engineers,'53-4011,27.0,27.2,0.2,0.7,—,2.2,"77,400",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Rail yard engineers, dinkey operators, and hostlers",'53-4013,3.1,3.1,0.0,0.3,—,0.2,"58,030",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Railroad brake, signal, and switch operators and locomotive firers",'53-4022,11.0,11.1,0.1,1.0,—,1.0,"65,480",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,OOH Content
  Railroad conductors and yardmasters,'53-4031,36.8,37.2,0.4,1.1,—,3.1,"74,080",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Subway and streetcar operators,'53-4041,9.6,9.9,0.3,3.4,—,0.9,"84,830",High school diploma or equivalent,Detail oriented,Adaptability,Fine motor,—
"  Rail transportation workers, all other[2]",'53-4099,1.6,1.6,0.1,3.9,—,0.2,"49,330",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,—
  Sailors and marine oilers,'53-5011,32.1,32.8,0.7,2.3,—,3.9,"49,610",No formal educational credential,Detail oriented,Fine motor,Adaptability,OOH Content
"  Captains, mates, and pilots of water vessels",'53-5021,40.7,40.9,0.2,0.5,7.1,4.3,"85,540",Postsecondary nondegree award,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
