2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
      Biological scientists,'19-1020,Summary,138.3,142.3,0.1,0.1,4.0,2.9,1.1,10.8,"93,340",—,—,—,—,
        Biochemists and biophysicists,'19-1021,Line item,35.6,37.6,0.0,0.0,2.1,5.8,1.7,2.9,"103,650",Doctoral or professional degree,None,None,OOH Content,
        Microbiologists,'19-1022,Line item,20.7,21.6,0.0,0.0,0.8,4.1,1.3,1.7,"87,330",Bachelor's degree,None,None,OOH Content,
        Zoologists and wildlife biologists,'19-1023,Line item,18.2,18.5,0.0,0.0,0.3,1.6,0.5,1.4,"72,860",Bachelor's degree,None,None,OOH Content,
"        Biological scientists, all other",'19-1029,Line item,63.7,64.5,0.0,0.0,0.8,1.2,1.0,4.8,"93,330",Bachelor's degree,None,None,—,
      Conservation scientists and foresters,'19-1030,Summary,42.4,43.5,0.0,0.0,1.1,2.7,3.5,3.6,"69,060",—,—,—,—,
        Conservation scientists,'19-1031,Line item,28.5,29.5,0.0,0.0,1.0,3.4,3.5,2.5,"67,950",Bachelor's degree,None,None,OOH Content,
        Foresters,'19-1032,Line item,13.8,14.0,0.0,0.0,0.2,1.2,3.4,1.1,"70,660",Bachelor's degree,None,None,OOH Content,
      Medical scientists,'19-1040,Summary,177.6,194.0,0.1,0.1,16.3,9.2,0.6,10.4,"99,770",—,—,—,—,
        Epidemiologists,'19-1041,Line item,12.3,14.3,0.0,0.0,2.0,16.2,—,0.8,"83,980",Master's degree,None,None,OOH Content,
"        Medical scientists, except epidemiologists",'19-1042,Line item,165.3,179.6,0.1,0.1,14.3,8.7,0.6,9.6,"100,590",Doctoral or professional degree,None,None,OOH Content,
"      Life scientists, all other",'19-1099,Line item,7.8,8.1,0.0,0.0,0.3,3.7,—,0.4,"87,800",Bachelor's degree,None,None,—,
    Physical scientists,'19-2000,Summary,284.9,295.7,0.2,0.2,10.8,3.8,4.3,22.4,"92,750",—,—,—,—,
      Astronomers and physicists,'19-2010,Summary,26.4,27.4,0.0,0.0,1.0,3.9,8.4,1.8,"166,290",—,—,—,—,
        Astronomers,'19-2011,Line item,1.8,1.8,0.0,0.0,0.0,2.2,5.4,0.1,"132,170",Doctoral or professional degree,None,None,OOH Content,
        Physicists,'19-2012,Line item,24.6,25.6,0.0,0.0,1.0,4.0,8.7,1.7,"166,290",Doctoral or professional degree,None,None,OOH Content,
      Atmospheric and space scientists,'19-2021,Line item,9.4,9.5,0.0,0.0,0.1,0.7,—,0.7,"97,450",Bachelor's degree,None,None,OOH Content,
      Chemists and materials scientists,'19-2030,Summary,95.5,100.2,0.1,0.1,4.7,4.9,1.0,7.0,"86,620",—,—,—,—,
        Chemists,'19-2031,Line item,86.8,91.0,0.1,0.1,4.3,4.9,1.0,6.3,"84,150",Bachelor's degree,None,None,OOH Content,
        Materials scientists,'19-2032,Line item,8.7,9.1,0.0,0.0,0.4,4.9,1.1,0.6,"104,160",Bachelor's degree,None,None,OOH Content,
      Environmental scientists and geoscientists,'19-2040,Summary,121.7,126.5,0.1,0.1,4.8,4.0,2.7,11.0,"82,660",—,—,—,—,
"        Environmental scientists and specialists, including health",'19-2041,Line item,90.3,94.3,0.1,0.1,4.0,4.4,1.5,8.5,"80,060",Bachelor's degree,None,None,OOH Content,
"        Geoscientists, except hydrologists and geographers",'19-2042,Line item,25.1,26.0,0.0,0.0,0.8,3.2,7.0,2.0,"99,240",Bachelor's degree,None,None,OOH Content,
        Hydrologists,'19-2043,Line item,6.3,6.3,0.0,0.0,0.0,-0.1,3.1,0.5,"92,060",Bachelor's degree,None,None,OOH Content,
"      Physical scientists, all other",'19-2099,Line item,31.9,32.1,0.0,0.0,0.2,0.6,17.5,2.0,"117,960",Bachelor's degree,None,None,—,
    Social scientists and related workers,'19-3000,Summary,339.9,352.5,0.2,0.2,12.6,3.7,14.2,23.1,"92,900",—,—,—,—,
      Economists,'19-3011,Line item,17.6,17.8,0.0,0.0,0.2,1.2,3.7,0.9,"115,440",Master's degree,None,None,OOH Content,
      Survey researchers,'19-3022,Line item,8.8,8.3,0.0,0.0,-0.5,-5.2,4.0,0.7,"63,380",Master's degree,None,None,OOH Content,
      Psychologists,'19-3030,Summary,204.3,216.0,0.1,0.1,11.8,5.8,22.6,12.9,"94,310",—,—,—,—,
        Industrial-organizational psychologists,'19-3032,Line item,5.6,5.9,0.0,0.0,0.3,6.3,80.5,0.4,"109,840",Master's degree,None,Internship/residency,OOH Content,
        Clinical and counseling psychologists,'19-3033,Line item,76.3,84.8,0.0,0.0,8.5,11.2,2.4,4.8,"95,830",Doctoral or professional degree,None,Internship/residency,OOH Content,
        School psychologists,'19-3034,Line item,67.2,67.7,0.0,0.0,0.5,0.7,5.3,3.8,"86,930",Master's degree,None,Internship/residency,OOH Content,
"        Psychologists, all other",'19-3039,Line item,55.3,57.7,0.0,0.0,2.4,4.3,65.9,3.9,"117,580",Master's degree,None,Internship/residency,OOH Content,
      Sociologists,'19-3041,Line item,3.4,3.6,0.0,0.0,0.1,3.6,3.0,0.3,"101,690",Master's degree,None,None,OOH Content,
      Urban and regional planners,'19-3051,Line item,44.7,46.2,0.0,0.0,1.5,3.4,—,3.4,"83,720",Master's degree,None,None,OOH Content,
      Miscellaneous social scientists and related workers,'19-3090,Summary,61.0,60.5,0.0,0.0,-0.5,-0.9,1.6,4.9,"96,660",—,—,—,—,
        Anthropologists and archeologists,'19-3091,Line item,8.8,9.2,0.0,0.0,0.3,3.7,3.6,0.8,"64,910",Master's degree,None,None,OOH Content,
        Geographers,'19-3092,Line item,1.5,1.5,0.0,0.0,0.0,-3.1,—,0.1,"97,200",Bachelor's degree,None,None,OOH Content,
        Historians,'19-3093,Line item,3.4,3.5,0.0,0.0,0.1,2.2,2.0,0.3,"74,050",Master's degree,None,None,OOH Content,
        Political scientists,'19-3094,Line item,6.5,6.3,0.0,0.0,-0.2,-3.1,1.1,0.5,"139,380",Master's degree,None,None,OOH Content,
"        Social scientists and related workers, all other",'19-3099,Line item,40.8,40.1,0.0,0.0,-0.7,-1.7,1.3,3.2,"100,340",Bachelor's degree,None,None,—,
"    Life, physical, and social science technicians",'19-4000,Summary,416.2,430.5,0.2,0.2,14.3,3.4,2.2,52.6,"55,810",—,—,—,—,
      Agricultural and food science technicians,'19-4010,Summary,38.9,40.7,0.0,0.0,1.8,4.6,6.0,6.1,"48,480",—,—,—,—,
        Agricultural technicians,'19-4012,Line item,18.6,19.4,0.0,0.0,0.8,4.3,5.2,2.9,"46,790",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
        Food science technicians,'19-4013,Line item,20.4,21.3,0.0,0.0,1.0,4.8,6.7,3.2,"49,430",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
      Biological technicians,'19-4021,Line item,82.7,85.6,0.0,0.0,2.9,3.5,—,9.1,"52,000",Bachelor's degree,None,None,OOH Content,
      Chemical technicians,'19-4031,Line item,57.0,59.0,0.0,0.0,2.1,3.7,0.7,6.7,"57,790",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
      Environmental science and geoscience technicians,'19-4040,Summary,53.4,55.1,0.0,0.0,1.7,3.2,—,7.3,"49,690",—,—,—,—,
"        Environmental science and protection technicians, including health",'19-4042,Line item,40.4,42.1,0.0,0.0,1.6,4.0,—,5.6,"49,490",Associate's degree,None,None,OOH Content,
"        Geological technicians, except hydrologic technicians",'19-4043,Line item,9.8,10.0,0.0,0.0,0.1,1.5,—,1.3,"48,390",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
        Hydrologic technicians,'19-4044,Line item,3.1,3.0,0.0,0.0,-0.1,-2.1,—,0.4,"58,570",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
      Nuclear technicians,'19-4051,Line item,6.0,5.5,0.0,0.0,-0.5,-7.7,—,0.7,"104,240",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
      Social science research assistants,'19-4061,Line item,40.6,42.3,0.0,0.0,1.8,4.4,4.9,5.2,"58,040",Bachelor's degree,None,None,—,
      Forest and conservation technicians,'19-4071,Line item,33.8,32.7,0.0,0.0,-1.1,-3.2,0.7,3.9,"54,310",Associate's degree,None,None,—,
"      Miscellaneous life, physical, and social science technicians",'19-4090,Summary,103.9,109.5,0.1,0.1,5.6,5.4,4.1,13.5,"61,570",—,—,—,—,
        Forensic science technicians,'19-4092,Line item,20.7,23.3,0.0,0.0,2.6,12.8,0.9,2.9,"67,440",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
"        Life, physical, and social science technicians, all other",'19-4099,Line item,83.2,86.2,0.0,0.0,2.9,3.5,4.9,10.6,"60,130",Associate's degree,None,None,—,
    Occupational health and safety specialists and technicians,'19-5000,Summary,163.7,183.0,0.1,0.1,19.2,11.7,0.1,18.3,"78,900",—,—,—,—,
      Occupational health and safety specialists,'19-5011,Line item,131.9,148.4,0.1,0.1,16.5,12.5,0.1,14.9,"83,910",Bachelor's degree,None,None,OOH Content,
      Occupational health and safety technicians,'19-5012,Line item,31.9,34.6,0.0,0.0,2.7,8.5,—,3.4,"58,440",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
  Community and social service occupations,'21-0000,Summary,"3,196.9","3,409.2",1.9,1.9,212.3,6.6,3.7,313.7,"57,530",—,—,—,—,
"    Counselors, social workers, and other community and social service specialists",'21-1000,Summary,"2,707.5","2,913.8",1.6,1.7,206.3,7.6,3.6,265.8,"57,480",—,—,—,—,
      Counselors,'21-1010,Summary,"1,098.6","1,212.8",0.6,0.7,114.2,10.4,6.7,104.4,"60,200",—,—,—,—,
"        Educational, guidance, and career counselors and advisors",'21-1012,Line item,376.3,389.6,0.2,0.2,13.3,3.5,0.6,31.0,"65,140",Master's degree,None,None,OOH Content,
        Marriage and family therapists,'21-1013,Line item,77.8,87.7,0.0,0.1,9.8,12.6,12.8,7.7,"63,780",Master's degree,None,Internship/residency,OOH Content,
        Rehabilitation counselors,'21-1015,Line item,91.9,93.2,0.1,0.1,1.3,1.4,—,10.0,"46,110",Master's degree,None,None,OOH Content,
"        Substance abuse, behavioral disorder, and mental health counselors",'21-1018,Line item,483.5,564.6,0.3,0.3,81.0,16.8,5.9,48.3,"59,190",Master's degree,None,Internship/residency,OOH Content,
"        Counselors, all other",'21-1019,Line item,69.1,77.8,0.0,0.0,8.7,12.6,48.2,7.4,"49,830",Master's degree,None,None,—,
      Social workers,'21-1020,Summary,810.9,855.6,0.5,0.5,44.7,5.5,2.4,74.0,"61,330",—,—,—,—,
"        Child, family, and school social workers",'21-1021,Line item,399.9,413.3,0.2,0.2,13.4,3.4,0.2,35.1,"58,570",Bachelor's degree,None,None,OOH Content,
        Healthcare social workers,'21-1022,Line item,193.2,208.1,0.1,0.1,14.8,7.7,0.3,18.4,"68,090",Master's degree,None,Internship/residency,OOH Content,
        Mental health and substance abuse social workers,'21-1023,Line item,136.8,150.1,0.1,0.1,13.3,9.7,4.8,13.5,"60,060",Master's degree,None,Internship/residency,OOH Content,
"        Social workers, all other",'21-1029,Line item,81.0,84.1,0.0,0.0,3.1,3.9,14.5,7.0,"69,480",Bachelor's degree,None,None,OOH Content,
      Miscellaneous community and social service specialists,'21-1090,Summary,798.0,845.4,0.5,0.5,47.4,5.9,0.4,87.4,"48,790",—,—,—,—,
        Health education specialists,'21-1091,Line item,71.8,75.0,0.0,0.0,3.2,4.5,0.6,7.9,"63,000",Bachelor's degree,None,None,OOH Content,
        Probation officers and correctional treatment specialists,'21-1092,Line item,92.3,94.8,0.1,0.1,2.4,2.6,—,7.9,"64,520",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
        Social and human service assistants,'21-1093,Line item,449.6,478.5,0.3,0.3,28.9,6.4,0.3,50.6,"45,120",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
        Community health workers,'21-1094,Line item,65.1,72.5,0.0,0.0,7.4,11.3,0.8,7.8,"51,030",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"        Community and social service specialists, all other",'21-1099,Line item,119.2,124.7,0.1,0.1,5.5,4.6,0.6,13.1,"54,940",Bachelor's degree,None,None,—,
    Religious workers,'21-2000,Summary,489.4,495.4,0.3,0.3,6.0,1.2,4.3,47.9,"58,570",—,—,—,—,
      Clergy,'21-2011,Line item,262.0,264.6,0.2,0.2,2.6,1.0,5.7,23.0,"60,820",Bachelor's degree,None,Moderate-term on-the-job training,—,
"      Directors, religious activities and education",'21-2021,Line item,138.9,141.8,0.1,0.1,2.9,2.1,0.2,13.8,"54,840",Bachelor's degree,Less than 5 years,None,—,
"      Religious workers, all other",'21-2099,Line item,88.4,89.0,0.1,0.1,0.6,0.6,6.5,11.1,"45,120",Bachelor's degree,None,None,—,
  Legal occupations,'23-0000,Summary,"1,418.2","1,456.5",0.8,0.8,38.3,2.7,8.2,83.8,"99,990",—,—,—,—,
"    Lawyers, judges, and related workers",'23-1000,Summary,933.2,970.4,0.5,0.6,37.2,4.0,11.2,34.4,"144,040",—,—,—,—,
      Lawyers and judicial law clerks,'23-1010,Summary,879.3,915.5,0.5,0.5,36.2,4.1,11.8,32.5,"148,600",—,—,—,—,
        Lawyers,'23-1011,Line item,864.8,900.7,0.5,0.5,35.9,4.1,11.9,31.5,"151,160",Doctoral or professional degree,None,None,OOH Content,
        Judicial law clerks,'23-1012,Line item,14.5,14.9,0.0,0.0,0.4,2.5,2.7,1.0,"60,400",Doctoral or professional degree,None,None,—,
"      Judges, magistrates, and other judicial workers",'23-1020,Summary,53.9,54.9,0.0,0.0,0.9,1.8,1.6,1.8,"123,220",—,—,—,—,
"        Administrative law judges, adjudicators, and hearing officers",'23-1021,Line item,17.5,17.4,0.0,0.0,-0.1,-0.7,—,0.5,"115,230",Doctoral or professional degree,5 years or more,Short-term on-the-job training,OOH Content,
"        Arbitrators, mediators, and conciliators",'23-1022,Line item,9.1,9.5,0.0,0.0,0.4,4.3,9.1,0.3,"67,710",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content,
"        Judges, magistrate judges, and magistrates",'23-1023,Line item,27.3,28.0,0.0,0.0,0.7,2.5,—,0.9,"156,210",Doctoral or professional degree,5 years or more,Short-term on-the-job training,OOH Content,
    Legal support workers,'23-2000,Summary,484.9,486.1,0.3,0.3,1.1,0.2,2.5,49.4,"60,930",—,—,—,—,
      Paralegals and legal assistants,'23-2011,Line item,376.2,376.8,0.2,0.2,0.6,0.2,1.4,39.3,"61,010",Associate's degree,None,None,OOH Content,
      Miscellaneous legal support workers,'23-2090,Summary,108.7,109.3,0.1,0.1,0.5,0.5,6.0,10.2,"60,550",—,—,—,—,
"        Title examiners, abstractors, and searchers",'23-2093,Line item,57.4,58.5,0.0,0.0,1.1,2.0,8.9,5.4,"54,980",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Legal support workers, all other",'23-2099,Line item,51.3,50.7,0.0,0.0,-0.6,-1.2,2.8,4.7,"68,760",Associate's degree,None,None,—,
  Educational instruction and library occupations,'25-0000,Summary,"9,813.2","9,875.4",5.8,5.6,62.2,0.6,1.9,890.3,"59,220",—,—,—,—,
    Postsecondary teachers,'25-1000,Summary,"1,721.2","1,822.1",1.0,1.0,100.9,5.9,0.3,136.4,"81,600",—,—,—,—,
"      Business teachers, postsecondary",'25-1011,Line item,103.1,109.0,0.1,0.1,5.8,5.7,0.3,8.1,"97,270",Doctoral or professional degree,None,None,OOH Content,
"      Math and computer science teachers, postsecondary",'25-1020,Summary,103.7,107.4,0.1,0.1,3.7,3.6,0.2,7.9,"82,390",—,—,—,—,
"        Computer science teachers, postsecondary",'25-1021,Line item,44.8,47.2,0.0,0.0,2.4,5.3,0.2,3.5,"96,690",Doctoral or professional degree,None,None,OOH Content,
"        Mathematical science teachers, postsecondary",'25-1022,Line item,58.9,60.2,0.0,0.0,1.3,2.3,0.2,4.4,"79,350",Doctoral or professional degree,None,None,OOH Content,
"      Engineering and architecture teachers, postsecondary",'25-1030,Summary,62.0,66.3,0.0,0.0,4.3,7.0,0.2,5.0,"105,690",—,—,—,—,
"        Architecture teachers, postsecondary",'25-1031,Line item,11.6,11.9,0.0,0.0,0.2,2.0,—,0.9,"101,480",Doctoral or professional degree,None,None,OOH Content,
"        Engineering teachers, postsecondary",'25-1032,Line item,50.3,54.4,0.0,0.0,4.1,8.1,0.2,4.1,"106,120",Doctoral or professional degree,None,None,OOH Content,
"      Life sciences teachers, postsecondary",'25-1040,Summary,78.3,83.6,0.0,0.0,5.3,6.8,0.2,6.3,"83,920",—,—,—,—,
"        Agricultural sciences teachers, postsecondary",'25-1041,Line item,10.7,11.2,0.0,0.0,0.4,4.1,—,0.8,"86,350",Doctoral or professional degree,None,None,OOH Content,
"        Biological science teachers, postsecondary",'25-1042,Line item,66.0,70.8,0.0,0.0,4.8,7.3,0.2,5.4,"83,460",Doctoral or professional degree,None,None,OOH Content,
"        Forestry and conservation science teachers, postsecondary",'25-1043,Line item,1.6,1.7,0.0,0.0,0.1,4.0,—,0.1,"100,830",Doctoral or professional degree,None,None,OOH Content,
"      Physical sciences teachers, postsecondary",'25-1050,Summary,65.5,67.1,0.0,0.0,1.6,2.5,0.2,4.9,"95,520",—,—,—,—,
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",'25-1051,Line item,14.0,14.4,0.0,0.0,0.4,2.6,—,1.0,"101,390",Doctoral or professional degree,None,None,OOH Content,
"        Chemistry teachers, postsecondary",'25-1052,Line item,25.4,26.0,0.0,0.0,0.6,2.2,0.2,1.9,"86,220",Doctoral or professional degree,None,None,OOH Content,
"        Environmental science teachers, postsecondary",'25-1053,Line item,9.0,9.3,0.0,0.0,0.3,2.9,—,0.7,"87,710",Doctoral or professional degree,None,None,OOH Content,
"        Physics teachers, postsecondary",'25-1054,Line item,17.1,17.5,0.0,0.0,0.4,2.5,—,1.3,"97,360",Doctoral or professional degree,None,None,OOH Content,
"      Social sciences teachers, postsecondary",'25-1060,Summary,151.2,155.2,0.1,0.1,4.0,2.7,0.3,11.3,"83,360",—,—,—,—,
"        Anthropology and archeology teachers, postsecondary",'25-1061,Line item,6.5,6.7,0.0,0.0,0.2,2.7,—,0.5,"95,770",Doctoral or professional degree,None,None,OOH Content,
"        Area, ethnic, and cultural studies teachers, postsecondary",'25-1062,Line item,14.5,14.8,0.0,0.0,0.3,2.4,—,1.1,"84,290",Doctoral or professional degree,None,None,OOH Content,
"        Economics teachers, postsecondary",'25-1063,Line item,15.8,16.1,0.0,0.0,0.3,2.1,—,1.2,"119,980",Doctoral or professional degree,None,None,OOH Content,
"        Geography teachers, postsecondary",'25-1064,Line item,4.0,4.2,0.0,0.0,0.1,3.3,—,0.3,"86,730",Doctoral or professional degree,None,None,OOH Content,
"        Political science teachers, postsecondary",'25-1065,Line item,21.8,22.2,0.0,0.0,0.4,2.0,0.3,1.6,"94,680",Doctoral or professional degree,None,None,OOH Content,
"        Psychology teachers, postsecondary",'25-1066,Line item,52.5,54.4,0.0,0.0,1.9,3.6,0.3,4.0,"80,330",Doctoral or professional degree,None,None,OOH Content,
"        Sociology teachers, postsecondary",'25-1067,Line item,15.4,15.7,0.0,0.0,0.3,2.1,—,1.1,"82,540",Doctoral or professional degree,None,None,OOH Content,
"        Social sciences teachers, postsecondary, all other",'25-1069,Line item,20.7,21.1,0.0,0.0,0.4,1.7,—,1.5,"75,040",Doctoral or professional degree,None,None,OOH Content,
"      Health teachers, postsecondary",'25-1070,Summary,381.2,446.6,0.2,0.3,65.4,17.2,0.3,36.0,"100,370",—,—,—,—,
"        Health specialties teachers, postsecondary",'25-1071,Line item,289.6,339.7,0.2,0.2,50.1,17.3,0.3,27.4,"105,620",Doctoral or professional degree,Less than 5 years,None,OOH Content,
